attendance,internal,participation,assignment,quiz,midsem,risk
41,18,6,7,14,18,Medium
89,17,8,4,2,32,Medium
45,11,2,8,4,3,High
48,16,4,13,17,2,Medium
72,19,7,11,13,11,Low
80,23,1,3,15,17,Medium
64,15,1,19,13,22,Low
87,19,7,7,8,19,Low
52,16,7,16,14,5,Medium
48,7,1,7,6,33,High
92,21,1,20,13,1,Medium
52,7,4,0,5,29,High
70,23,5,19,14,8,Low
80,24,5,1,19,26,Low
50,8,4,3,7,33,High
43,7,8,23,1,39,Medium
73,20,7,20,7,23,Low
77,16,9,0,0,16,Medium
85,12,7,6,16,28,Low
43,21,1,0,18,35,Medium
77,11,7,8,4,11,High
58,15,1,2,19,30,Medium
45,22,7,11,15,8,Medium
73,5,8,18,6,18,Medium
57,7,9,14,6,16,High
52,8,3,21,17,1,High
80,17,4,15,17,39,Low
62,10,4,9,1,4,High
58,18,9,21,14,38,Low
84,9,7,5,13,15,Medium
50,20,3,16,17,16,Medium
40,19,5,20,8,26,Low
63,19,7,21,13,6,Low
93,8,8,23,4,7,Medium
46,12,1,16,10,7,Medium
64,20,2,20,7,22,Low
60,20,7,18,4,31,Low
54,8,2,17,10,17,High
40,17,7,10,4,37,Medium
51,17,9,23,16,11,Medium
97,6,2,6,3,14,High
46,7,7,9,14,27,Medium
54,12,4,6,18,37,Medium
60,19,2,4,1,30,Medium
58,15,7,11,16,8,Medium
99,13,5,15,11,7,Low
68,11,1,24,16,18,Medium
64,17,5,20,9,7,Low
72,6,3,17,17,33,Low
88,12,7,2,18,3,Medium
71,11,6,19,17,30,Low
88,16,8,14,12,37,Low
74,23,5,4,13,2,Medium
83,11,2,12,15,34,Medium
77,14,9,18,17,18,Low
65,20,8,11,17,28,Low
50,7,6,22,15,9,Medium
74,14,7,20,16,11,Low
47,10,9,4,6,29,High
85,22,7,5,11,29,Low
53,22,3,6,1,17,High
49,9,6,9,9,23,High
41,11,7,15,4,31,Medium
85,6,2,7,2,8,High
48,15,3,8,18,23,Medium
42,17,4,3,12,25,Medium
60,9,6,20,11,2,Medium
65,10,1,20,2,22,Medium
47,18,9,7,5,10,High
87,16,5,24,13,9,Low
41,8,7,6,3,35,High
45,10,9,14,12,12,Medium
67,14,9,20,18,28,Low
92,22,1,2,17,37,Low
68,19,1,16,2,12,Medium
65,12,3,10,19,25,Low
64,13,6,8,5,19,Low
51,9,2,4,15,4,High
44,14,1,24,19,19,Low
73,24,1,9,2,13,Medium
87,10,5,14,11,13,Medium
76,20,4,13,18,7,Low
54,7,1,3,18,12,High
83,14,4,20,3,23,Low
75,15,3,19,0,14,Medium
54,15,2,1,1,0,High
82,21,9,11,12,21,Low
87,8,1,0,12,33,Medium
62,8,7,23,1,39,Medium
45,21,4,19,18,2,Medium
85,13,5,4,15,25,Low
89,23,5,5,11,13,Medium
83,9,1,23,0,7,High
98,10,6,10,8,15,Medium
82,7,9,7,16,20,Medium
84,5,2,6,9,9,High
60,24,7,3,17,24,Low
62,20,6,5,18,37,Low
82,15,5,15,6,21,Low
94,17,4,19,18,3,Low
55,14,4,14,14,3,Medium
86,7,6,13,8,29,Low
92,13,4,22,9,1,Low
99,16,5,11,19,28,Low
54,18,6,11,19,35,Low
64,5,5,15,3,20,Medium
75,22,7,14,5,20,Low
50,21,9,12,3,20,Low
90,13,7,10,4,3,Medium
54,13,7,16,8,0,Medium
43,14,4,20,11,25,Low
60,23,1,14,7,1,Medium
52,19,8,13,4,8,Medium
61,9,4,9,10,17,Medium
58,19,1,11,10,10,Medium
73,24,5,15,12,24,Low
53,6,8,14,13,25,Medium
43,17,4,9,7,35,Medium
87,20,8,3,17,34,Low
92,19,8,22,18,37,Low
91,14,3,8,11,2,Medium
85,18,9,20,11,34,Low
66,14,3,19,17,39,Low
68,18,1,8,9,21,Low
86,13,2,20,6,7,Medium
67,18,6,24,17,14,Low
74,7,2,23,11,6,Medium
47,24,6,19,13,18,Low
55,20,1,10,14,39,Low
81,6,1,10,15,16,Medium
75,14,5,6,1,0,Medium
69,7,9,20,17,28,Low
57,15,8,9,11,12,Medium
41,15,3,3,15,28,Medium
88,17,3,4,12,5,Medium
52,11,1,4,19,4,High
43,21,3,10,16,33,Medium
65,6,1,8,17,10,High
64,16,8,15,2,8,Low
69,14,1,8,9,37,Medium
50,22,5,21,0,39,Medium
46,15,9,3,5,8,High
70,20,7,1,2,7,Medium
83,21,4,13,18,39,Low
49,23,9,2,3,2,High
78,22,9,17,19,12,Low
52,7,2,20,2,18,Medium
70,20,6,5,7,33,Low
46,10,4,10,7,31,Medium
95,16,8,20,6,15,Medium
88,15,7,17,1,35,Low
81,19,7,11,5,17,Low
81,19,9,4,15,13,Medium
95,20,5,8,9,29,Low
75,14,6,19,3,1,Low
59,16,1,17,12,12,Medium
43,17,6,18,9,26,Low
93,8,2,2,13,16,High
46,11,6,8,8,30,High
93,6,9,3,10,14,High
40,19,8,16,17,19,Low
83,12,9,16,10,4,Low
95,11,8,22,16,6,Medium
84,19,3,22,1,17,Medium
81,18,8,1,2,10,Medium
86,12,6,8,10,31,Low
98,16,6,8,17,26,Low
52,17,6,4,2,25,Medium
94,15,3,14,14,36,Low
61,21,1,14,10,27,Low
93,21,4,2,10,1,Medium
60,8,6,18,19,19,Low
61,12,2,2,10,3,Medium
67,9,7,5,18,12,High
48,20,7,3,0,23,Medium
65,8,4,23,4,37,Medium
48,19,4,12,9,39,Low
54,16,1,12,9,28,Medium
49,9,2,10,13,35,Medium
63,20,9,4,1,1,Medium
97,18,8,0,3,17,Medium
96,14,8,8,1,7,Medium
81,11,9,16,17,14,Medium
47,17,7,21,12,16,Medium
63,24,9,0,18,22,Low
55,9,2,2,4,1,High
88,7,6,14,19,5,Medium
65,19,3,20,1,28,Low
66,8,6,22,10,26,Low
76,19,3,9,17,36,Low
43,18,8,7,5,33,Medium
89,24,4,11,9,17,Low
63,23,6,24,16,9,Low
58,17,9,21,10,37,Low
75,14,2,14,18,16,Medium
99,9,2,8,16,12,High
78,24,7,23,3,26,Low
49,24,2,24,13,1,Medium
64,10,2,9,19,33,Medium
57,8,4,19,3,30,Medium
58,6,9,8,13,22,High
75,20,8,14,3,6,Low
49,22,2,22,5,37,Medium
72,9,8,20,8,32,Low
94,8,4,20,11,11,Medium
89,17,2,0,7,11,High
44,23,7,1,3,18,Medium
86,6,6,18,4,8,Medium
88,17,5,13,5,9,Low
74,15,1,7,4,16,High
83,8,2,5,18,39,Medium
73,24,8,11,7,38,Low
72,24,1,14,8,9,Medium
94,19,3,13,14,11,Medium
60,8,2,20,3,14,Medium
56,13,5,0,8,30,Medium
61,11,4,10,6,14,Medium
87,23,7,24,7,27,Low
76,23,5,2,14,3,Medium
54,10,8,18,18,35,Medium
74,10,4,17,14,0,Medium
67,24,6,19,4,33,Low
46,19,4,1,18,16,Medium
71,19,2,24,6,38,Low
50,24,1,6,5,37,High
49,13,1,7,18,32,Medium
48,8,8,18,16,20,Medium
53,22,4,21,9,25,Low
52,22,5,14,18,35,Low
96,9,8,9,10,4,Medium
64,24,7,21,14,32,Low
41,15,8,0,9,0,Medium
74,9,8,5,10,5,High
46,8,6,12,2,36,Medium
60,16,2,13,2,1,Medium
57,6,6,2,17,4,High
42,17,1,10,10,25,Medium
81,14,1,2,19,12,Medium
93,13,3,18,17,11,Medium
78,14,3,9,14,4,Medium
80,11,5,14,6,1,Medium
88,8,1,10,9,3,Medium
50,23,6,14,19,26,Low
78,14,7,23,9,9,Low
63,7,3,12,12,12,Medium
99,23,4,4,14,1,Medium
85,6,3,3,17,25,Medium
58,24,1,12,3,14,High
43,14,8,8,19,9,High
65,6,2,24,16,21,Medium
77,6,1,16,2,39,Medium
81,21,8,1,1,24,Medium
71,20,7,23,3,14,Low
78,20,7,4,0,12,Medium
84,18,4,15,14,7,Low
85,11,9,6,0,20,Medium
75,15,6,0,5,20,Medium
79,5,2,11,6,21,Medium
76,15,1,20,18,32,Low
72,8,1,10,11,26,Low
75,11,9,11,0,39,Low
42,19,4,18,6,21,Medium
48,22,5,11,18,29,Low
47,16,3,11,12,8,Medium
72,21,4,13,11,34,Low
